ZONAS,DESCRIPCIÓN,SUBZONAS
Centro,"Ubicado en el norte de la isla, en el centro encuentras la mayor parte del comercio; hoteles, restaurantes, bares y discotecas, tiendas de ropa, calzado, perfumería, tecnología y mucho más. El centro tiene la mayor concentración de personas de toda la isla y cuenta con la playa principal más extensa llamada spratt bight.",Sarie Bay
,,Cabañas
,,La rocosa
,,Spratt Bigth
,,Zona rosa
,,La 20 de Julio
,,Newball
,,Almendros
,,Barrio obrero
,,
,,
,,
,,
Loma,"Geográficamente en el centro de la isla, se encuentra La Loma, la única formación montañosa con la que cuenta San Andrés, en La Loma vive la mayor concentraciòn de Raizales de la isla, una zona de mucho valor cultural y natural, aquí encontrarás La Primera Iglesia Bautista, la Laguna Big Pond y diferentes calles que te conectan con el resto de la isla. Medianamente ruidosa, dependiendo de la hora.",Orange Hill
,,Bolivariano
,,Back Road
,,Barrack
,,Lynball cove
,,
,,
,,
,,
,,
San Luis,"Una amplia zona en el suroriente de la isla, San Luis es conocido por sus coloridas casas isleñas en las que habitan en su mayoría nativos, pero también encontrarás hospedajes turísticos, en esta zona, las playas y actividades son menos concurridas que en el centro, las playas tienen diferentes dimensiones de arena y diferente distancia de la barrera coralina, lo que hace que en unas pueda formarse más oleaje que en otras.",Chameys
,,Rocky Cay
,,Sound bay
,,El Paraíso
,,Toom Hooker
,,Punta sur
,,
,,
,,
,,
,,
Cove,"El Cove es toda la zona sur occidente de San Andrés, aquí, no encuentras playas, sino una hermosa formación rocosa coralina antes de las entradas al mar, las cuales son más conocidas por ser excelentes puntos de buceo y apnea. Al ser el occidente de la isla, aquí verás esconderse el sol entre el mar cada tarde, encuentras distintas casas de residentes, e igualmente es una zona con distintas atracciones y alojamientos turísticos, muy tranquila y poco ruidosa.",Morris Landing
,,Brooks Bottom
,,Magic Garden
,,Schooner Bight
,,Sukie Bay
,,Cove
,,Ensenada
,,West View
,,Tom hooker
,,Punta sur
